"ride_id","rideable_type","started_at","ended_at","start_station_name","start_station_id","end_station_name","end_station_id","member_casual"
"9D2E9625BCFF5726","electric_bike",2022-04-14 12:57:27,2022-04-14 12:57:27,"Chicago Ave & Washington St","E002",NA,NA,"casual"
"71F7B833A16ED6C7","electric_bike",2022-04-23 19:33:05,2022-04-23 19:33:05,"State St & 95th St","20104",NA,NA,"casual"
"0C7074AC476CBDEE","electric_bike",2022-04-21 15:59:03,2022-04-21 15:59:03,"Racine Ave & Garfield Blvd","559",NA,NA,"member"
"AD2C12AB44145690","electric_bike",2022-04-03 18:42:12,2022-04-03 18:42:12,"Streeter Dr & Grand Ave","13022",NA,NA,"casual"
"5B46D9896434A103","electric_bike",2022-04-10 13:50:53,2022-04-10 13:50:53,NA,NA,NA,NA,"casual"
"EE93FD3E9F1EFB9E","electric_bike",2022-04-29 14:34:58,2022-04-29 14:34:58,"MLK Jr Dr & Pershing Rd","13420",NA,NA,"member"
"D0018C511EA8B658","electric_bike",2022-04-04 21:00:08,2022-04-04 21:00:08,"Wells St & Hubbard St","TA1307000151",NA,NA,"member"
"28990A801D4109B8","electric_bike",2022-04-18 07:59:16,2022-04-18 07:59:16,"Michigan Ave & 8th St","623",NA,NA,"casual"
"07A0A370262699C0","electric_bike",2022-04-27 18:56:25,2022-04-27 18:56:25,"Clark St & Lincoln Ave","13179","Clark St & Lincoln Ave","13179","member"
"202A1B302BEF2567","electric_bike",2022-04-30 13:43:30,2022-04-30 13:43:30,"Damen Ave & Cortland St","13133","Damen Ave & Cortland St","13133","casual"
"FCCEC737365FB811","electric_bike",2022-04-18 17:03:59,2022-04-18 17:03:59,"Green St & Randolph St","13053","Green St & Randolph St","13053","casual"
"1C6AB9E72158D2AF","electric_bike",2022-04-12 17:32:41,2022-04-12 17:32:41,"Green St & Randolph St","13053","Green St & Randolph St","13053","casual"
"523BB75F698BCF6C","classic_bike",2022-04-23 15:41:11,2022-04-23 15:41:11,"DuSable Lake Shore Dr & Monroe St","13300","DuSable Lake Shore Dr & Monroe St","13300","casual"
"BE502FEB278D2B53","electric_bike",2022-05-18 19:56:48,2022-05-18 19:56:48,"Orleans St & Merchandise Mart Plaza","TA1305000022",NA,NA,"casual"
"0150E851238D0CDA","classic_bike",2022-05-26 16:07:29,2022-05-26 16:07:29,"University Ave & 57th St","KA1503000071","University Ave & 57th St","KA1503000071","member"
"1CF5FB46FBE23A7D","classic_bike",2022-05-25 18:04:53,2022-05-25 18:04:53,"Clark St & Leland Ave","TA1309000014","Clark St & Leland Ave","TA1309000014","member"
"F5682D8E9ABBEDEA","classic_bike",2022-05-29 20:40:52,2022-05-29 20:40:52,"Greenview Ave & Diversey Pkwy","13294","Greenview Ave & Diversey Pkwy","13294","casual"
"CBFC252DE0526563","classic_bike",2022-05-08 17:07:10,2022-05-08 17:07:10,"Halsted St & Polk St","TA1307000121","Halsted St & Polk St","TA1307000121","member"
"08910481ADF77CD2","electric_bike",2022-05-29 07:38:27,2022-05-29 07:38:27,"Kedzie Ave & Milwaukee Ave","13085","Kedzie Ave & Milwaukee Ave","13085","casual"
"B9034825B8618C67","electric_bike",2022-05-12 18:32:16,2022-05-12 18:32:16,"Damen Ave & Wellington Ave","13268","Damen Ave & Wellington Ave","13268","member"
"06FB82B893E849FD","classic_bike",2022-05-14 13:19:59,2022-05-14 13:19:59,"Southport Ave & Roscoe St","13071","Southport Ave & Roscoe St","13071","casual"
"863BC8AF41A8BE41","electric_bike",2022-05-16 19:06:08,2022-05-16 19:06:08,"Wells St & Hubbard St","TA1307000151","Wells St & Hubbard St","TA1307000151","casual"
"2C8C3C9D7FE28BA3","electric_bike",2022-05-05 06:02:08,2022-05-05 06:02:08,"Clark St & Bryn Mawr Ave","KA1504000151","Clark St & Bryn Mawr Ave","KA1504000151","member"
"E6489C832BAA9235","electric_bike",2022-05-28 11:13:58,2022-05-28 11:13:58,"Wabash Ave & Roosevelt Rd","TA1305000002","Wabash Ave & Roosevelt Rd","TA1305000002","casual"
"959B4529F52272DF","electric_bike",2022-05-11 18:25:42,2022-05-11 18:25:42,"Green St & Randolph St","13053","Green St & Randolph St","13053","casual"
"C2D908AD0C14C27B","electric_bike",2022-05-17 13:17:36,2022-05-17 13:17:36,"Kedzie Ave & Roosevelt Rd","15682","Kedzie Ave & Roosevelt Rd","15682","casual"
